name,age,lifestyle,zip_code,family_status,car,sports,earnings,living_area,label
afMFwPFx,26,active,79384,married,practical,soccer,104627,rural,no response
WHByVff4,33,cozily,87140,single,expensive,soccer,56971,urban,no response
YkiL3hPG,24,cozily,20122,single,practical,badminton,24389,urban,no response
FzbVi68D,47,active,43557,single,expensive,,115979,rural,no response
cAmqKr3E,58,cozily,45422,single,practical,badminton,125512,rural,response
meSLlsDr,54,active,39049,single,practical,soccer,58106,rural,no response
h8cFU8xZ,51,healthy,51994,married,practical,soccer,109468,rural,no response
UbcNhsBi,40,active,58315,single,expensive,badminton,57952,rural,no response
nJ2tATx4,65,active,94896,married,practical,athletics,47402,rural,response
13a8vQ3d,28,cozily,83854,single,practical,soccer,87285,rural,no response
ms7kvQ1h,44,cozily,76491,married,practical,badminton,61316,urban,no response
mNPrJCok,68,active,63961,married,expensive,soccer,54092,urban,response
uLesTOhx,15,cozily,71108,married,practical,athletics,78698,urban,no response
CATLXO8O,56,cozily,82835,single,practical,,63512,urban,response
zamLhLJM,57,active,10321,single,expensive,soccer,79263,urban,response
Z9nLYOd3,66,cozily,69458,married,expensive,badminton,96450,rural,response
KiSlLJtj,36,healthy,78510,married,practical,athletics,97491,urban,no response
qURcGDrR,19,active,94971,married,practical,athletics,113416,rural,no response
qJlQXfD0,68,cozily,28981,married,expensive,,83786,urban,no response
ZdUcVHMV,45,active,61132,single,expensive,soccer,64952,urban,no response
WoxMSfzB,35,healthy,31796,single,expensive,athletics,93559,rural,no response
67wSzOcP,59,active,86681,married,practical,soccer,102630,rural,response
rhkSkZ6X,59,cozily,72854,single,practical,badminton,141220,rural,response
aR8ZkRSf,67,cozily,11684,married,expensive,badminton,129735,urban,response
jsmebUjG,16,cozily,39363,married,expensive,athletics,45802,urban,no response
MjHC01PR,30,active,32323,married,practical,soccer,98925,urban,no response
drCalP5K,62,healthy,30676,married,practical,athletics,48604,rural,no response
d7GUIRwb,65,active,25242,married,expensive,soccer,73070,rural,response
wz16b2Wh,68,healthy,69697,married,expensive,soccer,59331,rural,response
TOrLzfCS,52,cozily,86626,married,practical,soccer,124014,rural,no response
ITg8HadT,45,healthy,65979,married,practical,soccer,136460,urban,no response
kwVG122G,22,healthy,48480,single,expensive,soccer,103454,urban,no response
gTIEVtVg,59,healthy,34093,single,practical,soccer,80012,rural,no response
kJz9IJlS,22,cozily,61126,single,practical,badminton,48629,urban,no response
QbDNGvUt,24,healthy,76439,single,expensive,badminton,123435,urban,no response
090ca9kJ,66,cozily,12327,married,expensive,athletics,133819,rural,response
Ir4xHnip,17,active,94864,married,practical,soccer,65063,rural,no response
kfF8BfcW,25,cozily,69514,single,expensive,,136781,urban,response
iyElztiL,58,healthy,24216,single,practical,athletics,114007,rural,no response
ul4UcZsD,15,cozily,16074,married,expensive,badminton,91692,rural,no response
kUOO2AnO,51,active,56855,single,practical,soccer,75831,urban,no response
YwwX4mtu,47,cozily,24732,married,expensive,soccer,77331,rural,no response
2uQoXFQG,23,healthy,51385,single,practical,athletics,78351,urban,no response
HYdHuHGC,54,healthy,64208,married,practical,soccer,29955,urban,response
yRUeSAir,15,cozily,32210,single,expensive,soccer,62273,urban,no response
fN90pzb9,61,healthy,50339,single,practical,athletics,36090,urban,response
H9fhimaJ,60,healthy,94952,married,practical,soccer,28995,rural,response
OWxN4PVd,52,active,17844,single,expensive,soccer,72578,urban,no response
xX7NsmGI,27,cozily,79970,single,practical,soccer,29578,urban,no response
Kv9WAdXj,39,healthy,11443,single,practical,badminton,43981,urban,response
neltptuV,69,healthy,67236,single,practical,badminton,73849,urban,response
8B0TYHsy,25,active,25971,single,practical,athletics,54438,urban,no response
MzYT0UQu,66,cozily,86689,married,practical,badminton,31668,rural,response
stD2jLWW,68,cozily,85629,married,practical,athletics,60949,urban,response
XcxgayS0,59,cozily,72072,single,expensive,athletics,80245,urban,no response
LUiKqsuT,54,healthy,76910,married,expensive,soccer,37506,rural,no response
fA791Y1x,44,healthy,31688,single,expensive,,86851,rural,no response
WVAB6LXa,51,active,35146,married,practical,athletics,115293,rural,no response
vM2QcGim,61,healthy,85445,single,practical,soccer,86054,urban,response
vVxcKUEm,67,active,28692,single,practical,soccer,32560,rural,response
xPYI7zEg,16,active,76640,married,expensive,soccer,55524,urban,no response
Qwy8ZSi1,16,active,20610,married,practical,athletics,50492,urban,response
FvM7sRv5,20,active,56811,married,practical,badminton,20604,urban,response
niBIzqvb,33,healthy,61303,married,practical,athletics,47944,rural,no response
BpucccAj,27,cozily,79313,single,expensive,athletics,34995,rural,no response
hRp17vnb,24,healthy,77730,single,expensive,soccer,77670,urban,response
yj9EsZWj,69,healthy,37400,married,practical,soccer,92079,urban,response
ZGiDP0Er,30,cozily,53185,married,expensive,athletics,60548,urban,no response
5mqco3XF,27,active,76956,single,expensive,athletics,26328,rural,no response
dTHuA29C,49,active,58250,single,expensive,soccer,32693,rural,no response
Yjkl1Ty3,16,cozily,55530,married,practical,soccer,149335,rural,response
sLNsHHcT,43,cozily,63343,single,expensive,athletics,24688,rural,no response
kWInSae2,31,active,30377,married,expensive,athletics,99055,urban,no response
bNnPEISc,55,healthy,73877,single,expensive,athletics,125616,urban,no response
KCEpk8XI,57,cozily,10875,married,practical,badminton,146961,urban,response
dXabs1sQ,21,healthy,64553,single,practical,soccer,80457,urban,no response
RhNVROnz,30,cozily,79870,single,expensive,athletics,90866,urban,no response
h8JH7n9W,16,healthy,76571,married,practical,badminton,60632,rural,no response
Z8NeYAUr,35,healthy,35898,single,practical,soccer,141347,urban,response
JGE4W6aT,53,healthy,98897,single,practical,badminton,76635,rural,no response
hbI3Oz5G,38,healthy,65674,single,practical,soccer,113611,urban,no response
idWANv5b,47,active,88664,married,expensive,athletics,65625,urban,no response
MX2PmAg1,43,cozily,59070,married,expensive,,141106,urban,response
olKl8ca1,23,active,47311,married,practical,athletics,40608,rural,no response
1d1QkXI8,36,cozily,53383,single,expensive,athletics,149371,rural,response
ZRjVdLr9,57,active,98446,married,expensive,athletics,125016,rural,response
nDVB82WA,34,active,82317,single,expensive,,135749,rural,no response
ewIsUbDF,50,active,59902,single,expensive,,144545,rural,response
LQ02Q640,28,cozily,80935,married,practical,soccer,109916,urban,response
npivuqjT,46,cozily,62104,married,practical,badminton,48690,rural,no response
Lim4wmC8,43,healthy,17441,married,practical,athletics,47162,rural,no response
FsdoBsTV,46,active,58215,married,practical,soccer,93354,urban,no response
QchrLC5q,25,active,97213,married,expensive,soccer,40076,rural,no response
tc6txQSQ,67,cozily,15370,single,expensive,,124809,rural,response
RINZQ6DX,21,active,33231,married,practical,soccer,76876,urban,no response
3NquLfXN,61,active,99554,single,practical,badminton,65005,rural,response
g9IgbAjm,35,active,15002,married,practical,athletics,148310,urban,response
kt3pwk4q,56,active,27849,married,expensive,,121091,rural,no response
3UVSoSIy,31,active,40257,single,practical,soccer,29692,rural,no response
j0eTu209,27,cozily,22132,married,expensive,,146527,urban,response
1kLwPVOs,17,cozily,75587,single,expensive,soccer,124502,rural,no response
QnSTGKiN,24,healthy,93920,single,expensive,soccer,66142,rural,no response
0cphf9Vx,19,active,10246,single,expensive,soccer,73525,rural,response
1oupt5eN,37,healthy,88048,married,practical,athletics,72318,urban,no response
UOznhlU1,60,healthy,70658,married,expensive,,120778,rural,response
8zYGk0Xn,62,active,64030,married,practical,soccer,77130,urban,no response
sDjL5PdL,59,cozily,91079,single,expensive,,59670,rural,response
zZkiEtL6,46,healthy,64789,married,expensive,athletics,97758,rural,no response
Z3m2dTzd,35,cozily,55359,single,expensive,athletics,77189,urban,no response
jXSOGoJb,27,cozily,31777,single,expensive,,29220,urban,no response
fzaohBZH,52,healthy,10685,married,expensive,soccer,130660,rural,response
7YP8avIy,44,active,11454,married,practical,soccer,108923,rural,response
RVmXL3Li,42,active,98352,married,practical,,28956,rural,no response
4VTECUqg,36,cozily,43081,single,practical,athletics,30367,urban,no response
YVFAbqKe,66,healthy,53273,single,practical,,32622,urban,response
COZcWwNq,41,healthy,87654,married,practical,,64434,urban,no response
NLzuLxI0,17,healthy,16505,married,practical,badminton,60330,urban,no response
HpIbWYrE,43,cozily,95082,married,practical,athletics,38593,urban,no response
dqBrnKVb,49,active,56796,single,practical,soccer,102523,urban,no response
sZioyspX,30,cozily,43051,married,practical,athletics,46899,urban,no response
GgWTcEhn,17,active,37128,single,practical,athletics,72945,urban,response
eZHCAEVM,66,active,30986,married,practical,athletics,133074,urban,response
3Gnkm6ZO,24,healthy,41721,married,practical,athletics,108721,urban,no response
hqoByCLE,20,cozily,36773,married,expensive,athletics,84842,urban,no response
ASpRMxey,45,cozily,13705,married,expensive,athletics,91291,urban,response
TcqJOwK6,41,active,14651,married,expensive,soccer,56143,rural,response
K7GBlFO2,42,healthy,42214,single,expensive,athletics,29581,rural,no response
vBQ0wTRp,65,active,41279,single,practical,badminton,67765,rural,response
tMKisFg0,28,cozily,96857,married,expensive,soccer,101874,urban,no response
QkE1EXUx,39,cozily,51159,single,expensive,,109136,urban,no response
l6rYtSOQ,19,healthy,99182,married,expensive,soccer,143546,urban,response
UuPOJRma,18,active,45527,single,expensive,soccer,149809,urban,response
Y8nigDHy,67,cozily,79635,single,practical,athletics,77583,urban,response
wKKJ0vIl,45,cozily,93331,married,expensive,badminton,84301,urban,no response
L2stypTa,64,cozily,43001,single,practical,athletics,60618,urban,no response
rM6f0Wvf,35,healthy,11940,married,expensive,soccer,125419,rural,response
QbIgdHhG,66,active,10591,single,expensive,badminton,28406,rural,response
Ed9DtElK,42,active,24430,married,practical,badminton,131904,urban,no response
i5nmAVj4,43,active,37243,married,practical,,130405,urban,no response
arVgNNAW,54,healthy,77409,single,practical,athletics,20832,urban,no response
PjytxIgQ,20,cozily,60981,married,practical,badminton,45974,urban,no response
S2LHgJ62,21,cozily,61865,married,practical,soccer,83402,rural,no response
KPrrctk2,16,active,93100,married,practical,badminton,111256,urban,no response
d4UxrQhM,63,healthy,87215,single,practical,athletics,39121,urban,response
273ww5t0,32,active,53604,single,expensive,soccer,66720,urban,no response
cWHkNex7,45,active,93320,single,practical,soccer,96099,rural,no response
MiFCRpRJ,42,active,24618,single,expensive,soccer,43308,rural,no response
ekrlrahi,67,cozily,70173,married,expensive,,114732,urban,response
enGjI27s,45,cozily,77954,single,practical,badminton,46615,rural,no response
iqX0zFPd,69,healthy,83269,single,expensive,athletics,87810,urban,response
5xQWP7v4,23,active,21580,married,practical,athletics,114741,rural,no response
Pnoj3Ps9,50,active,89503,married,practical,soccer,59293,rural,no response
i4UfC7mj,69,cozily,60351,married,expensive,athletics,92938,urban,response
A9BLlzmW,49,active,25102,married,practical,soccer,121728,urban,no response
riE0925e,23,healthy,54798,single,practical,,88450,rural,no response
fWCXldV0,61,healthy,42208,single,expensive,badminton,103518,rural,response
6ZSUMdhS,42,active,19799,married,practical,badminton,70656,rural,no response
JeCKj4zK,22,healthy,92513,married,practical,athletics,107623,urban,no response
dKy7yAsZ,40,healthy,34336,single,expensive,soccer,28927,urban,no response
1is4KCIA,56,active,62158,married,expensive,,135959,rural,response
FuVSitCY,30,healthy,19728,married,expensive,athletics,57473,rural,no response
YU3LDay5,31,active,21515,single,expensive,athletics,69189,urban,no response
30LBe4rl,30,active,25866,married,expensive,athletics,100624,urban,no response
KfNlcrW4,37,active,16059,married,expensive,athletics,99343,urban,no response
nJx4mBVo,40,cozily,81643,married,expensive,,132506,rural,no response
S5FPwMl5,30,active,58190,married,practical,soccer,120294,urban,no response
sQhM8WQT,61,healthy,25739,single,practical,soccer,43450,urban,response
Ao0RI5TV,27,healthy,59802,single,expensive,athletics,77260,urban,no response
vq8zpuhr,24,active,41036,married,expensive,badminton,130994,rural,no response
0FDiWKNV,64,cozily,90988,single,expensive,soccer,33649,rural,response
h1MuNe09,43,cozily,36818,married,expensive,badminton,89340,rural,no response
a5N07ozO,37,healthy,41663,married,expensive,athletics,56128,urban,no response
GBU3qEZe,65,cozily,30199,single,expensive,athletics,47182,urban,response
1tJFwkkI,57,cozily,37416,single,expensive,,140468,urban,response
1n1dISrP,65,active,25706,married,practical,athletics,62001,urban,response
QZA5yqEX,47,active,47944,married,expensive,soccer,29867,rural,no response
UnRW1eIc,48,active,62741,married,practical,,87365,urban,no response
E0f88MUz,49,healthy,27502,married,practical,athletics,30777,urban,no response
HppKWUf8,49,cozily,94791,married,expensive,badminton,54975,urban,no response
34vN3ogk,61,active,45774,single,expensive,badminton,30018,urban,response
qOaolruf,35,cozily,82423,single,practical,soccer,66330,urban,no response
Tb7Juu5A,22,active,95873,married,practical,badminton,91423,urban,no response
9zh6hajd,59,healthy,74243,single,expensive,soccer,113662,urban,response
WEAsLDKb,17,active,60862,married,expensive,athletics,149552,rural,response
KX5OMxwM,55,active,53199,single,practical,soccer,67874,urban,no response
MJQLSCj4,45,healthy,61952,single,practical,badminton,71735,urban,response
ZAkPUI55,16,active,15470,single,expensive,athletics,20508,rural,no response
cOezXCWx,54,healthy,20509,married,expensive,badminton,124165,rural,no response
SlBQ2PyC,38,healthy,92385,single,expensive,athletics,101225,rural,no response
R3JACCjb,28,healthy,25374,married,practical,soccer,125760,rural,no response
NUHR79QK,17,healthy,70269,single,practical,badminton,59356,rural,no response
uuX0knpz,40,active,54220,married,practical,,144941,rural,response
zbJSIinX,36,healthy,87994,single,practical,athletics,67654,urban,no response
yWPGGGmg,51,cozily,90757,married,expensive,soccer,41504,urban,no response
kCnjP7QI,41,cozily,75848,married,expensive,,136839,urban,no response
pkm22x6d,28,active,32727,married,practical,badminton,142791,urban,response
5D5FPKjN,39,healthy,66666,married,practical,soccer,60849,urban,no response
yo233Tet,54,healthy,20172,single,practical,athletics,74653,urban,no response
Fpmu5QRd,42,active,35598,married,expensive,,21952,urban,no response
Og1QZZtA,54,healthy,34543,single,practical,,74871,urban,no response
yHOtHkPE,24,cozily,23000,single,practical,badminton,127607,rural,no response
aNx1urLy,43,cozily,67960,single,expensive,athletics,123523,rural,no response
AlWLZNNy,24,healthy,45640,single,expensive,soccer,127923,rural,no response
Titkywlw,22,cozily,92131,married,expensive,soccer,131460,rural,no response
AqiSVf3M,29,cozily,44907,married,practical,soccer,58028,urban,no response
JAsarCfy,17,healthy,16494,married,expensive,athletics,124011,urban,no response
F92ipBIE,40,healthy,66449,single,practical,athletics,147350,rural,response
tb3MsI5q,15,healthy,29734,married,practical,athletics,44627,rural,no response
CvEeTBOy,15,healthy,40126,married,practical,,131415,urban,no response
EmyTRpUJ,20,cozily,79890,married,expensive,athletics,59059,urban,no response
JbOv5RpQ,51,active,88540,married,expensive,soccer,57813,rural,no response
sLS3LP0x,24,active,98162,single,practical,soccer,47708,urban,no response
oahHP9M0,24,cozily,24008,single,practical,athletics,80559,urban,no response
UMOeUxHp,17,healthy,34082,single,practical,soccer,117938,urban,no response
dl9xGNMt,34,cozily,90268,married,expensive,badminton,119518,urban,no response
RFH5myw0,42,active,69390,married,practical,,69135,rural,no response
zmFQLxt2,16,active,35920,married,expensive,soccer,100588,rural,no response
TbLWBmUU,69,active,13286,married,expensive,soccer,42127,rural,response
J4y8A4xt,51,cozily,76872,single,practical,badminton,125140,urban,no response
E05FuJCz,54,active,78257,single,expensive,badminton,68121,urban,no response
twEwPLux,22,active,43112,single,practical,badminton,31347,rural,no response
02O08suQ,63,healthy,90052,married,practical,badminton,27722,urban,no response
xFuuZDbm,23,healthy,79239,married,practical,,58863,urban,no response
GLzGXlZl,37,cozily,89682,single,expensive,,43391,rural,no response
nDOtebAy,60,cozily,39148,married,practical,,83967,rural,response
BigiaVHU,17,cozily,48328,married,expensive,athletics,138623,rural,no response
OJIbMpif,15,active,47947,married,expensive,athletics,78094,urban,no response
xAtlgQgp,63,healthy,77613,single,practical,badminton,125353,rural,response
UARevKVC,63,cozily,11645,married,expensive,athletics,109053,urban,response
Yl37fXla,40,cozily,99484,married,practical,athletics,33965,rural,no response
mpvRe2gB,62,active,57302,married,practical,,96719,urban,no response
rTQRDVHV,53,cozily,54001,married,expensive,athletics,42563,urban,no response
EFW2wPUd,23,active,46091,single,expensive,badminton,87930,urban,no response
blgRsgOo,44,healthy,19235,married,expensive,athletics,34438,urban,no response
tiGUCYEZ,56,active,53719,married,expensive,athletics,130857,urban,response
6cIUttLG,28,cozily,87261,married,expensive,,130624,urban,no response
dOuu6wHk,17,cozily,75701,married,expensive,soccer,81520,rural,no response
mMtbaGOC,28,active,18022,married,practical,badminton,27646,urban,no response
NBUJJYLG,43,active,77257,married,practical,athletics,140901,urban,response
Q7FOWtbx,69,healthy,30748,single,expensive,athletics,37805,urban,response
xHL28m77,59,healthy,55284,married,practical,,147055,urban,response
SnQ3Wx7a,43,healthy,88980,single,practical,soccer,75037,urban,no response
occBvfs4,34,cozily,11018,married,practical,athletics,29496,urban,response
knDJdmUP,31,cozily,76266,single,practical,soccer,64364,urban,no response
uj9WgGxI,36,cozily,27823,single,practical,soccer,111556,rural,no response
XGJaTNZu,40,healthy,94808,married,practical,athletics,122696,urban,no response
XlZIKH9H,56,healthy,76681,single,practical,badminton,60422,urban,response
be4VJqF2,37,healthy,65815,married,expensive,,37982,urban,no response
2VK7kRiZ,32,healthy,21949,single,practical,athletics,49800,rural,no response
GjMgu5Nj,45,healthy,87672,married,practical,soccer,108270,urban,no response
i4CT2swV,69,healthy,71283,single,practical,badminton,92094,rural,response
ujkwEAHy,37,active,36068,single,expensive,,85153,urban,no response
vnxLwDyy,22,healthy,75929,married,expensive,athletics,135750,urban,no response
PPEpH5d4,37,active,15274,married,practical,soccer,92958,urban,no response
PYzouZPE,22,healthy,66608,married,expensive,soccer,67984,urban,no response
cvo1raHz,45,cozily,11096,married,expensive,soccer,29223,urban,response
snA828ba,39,active,43521,single,expensive,badminton,95979,rural,no response
W6eXrmEl,25,active,73679,married,expensive,,95463,urban,no response
K43wSojm,36,healthy,68120,married,practical,badminton,85490,rural,no response
X9LfR5F1,46,healthy,74775,single,practical,soccer,81395,urban,no response
pE3VYMQi,20,healthy,55663,married,practical,,57551,urban,no response
JHXleQhH,30,cozily,48487,married,expensive,athletics,22877,urban,no response
s45lcuGD,50,cozily,60386,single,practical,athletics,129856,urban,no response
8ZUbloFH,22,active,82484,single,practical,badminton,84565,urban,no response
GwtXk5RP,46,healthy,14393,married,expensive,badminton,94171,urban,no response
CozzBkkQ,38,cozily,30926,single,practical,soccer,103864,urban,no response
lnb7eVZM,19,cozily,27757,married,practical,badminton,51171,rural,no response
UZxSn7lh,69,healthy,45294,married,practical,badminton,115754,urban,response
KhcC14sY,41,active,60815,single,practical,soccer,63810,urban,no response
GJe5pGDD,53,healthy,69927,single,expensive,athletics,21814,urban,no response
JkIwiyCM,24,active,60877,single,expensive,badminton,143486,urban,response
vZcTa19Z,60,active,27174,married,practical,badminton,137080,urban,no response
JF84BXYn,16,active,36209,married,practical,soccer,129086,rural,no response
HRaQBkKI,55,active,24677,married,expensive,athletics,47464,rural,no response
r4VY4mFV,58,cozily,33500,single,practical,,23168,rural,response
DhYiCMRg,62,cozily,35069,married,practical,badminton,32535,urban,response
AeyoWDEN,69,healthy,37703,married,practical,,70106,rural,response
YbuthpjR,17,healthy,55945,single,expensive,badminton,129216,urban,no response
aJKK6tim,69,healthy,60497,single,expensive,athletics,124990,urban,response
N0eNrPgP,50,active,68326,single,expensive,soccer,33684,urban,no response
qGFrHmtT,49,active,92896,married,practical,athletics,55276,urban,no response
XWHnkyL4,59,active,59634,single,expensive,badminton,56872,urban,response
a5k7VN8P,47,cozily,84952,single,expensive,athletics,99958,urban,no response
Jbyz0ICI,27,active,73045,married,practical,athletics,138876,urban,no response
ypzCl2mi,39,active,38488,single,practical,badminton,131862,rural,no response
L636oyq9,66,cozily,37568,married,practical,athletics,35934,urban,response
Gq52Yb0I,31,active,62677,married,practical,athletics,134906,urban,no response
2f3zn2xf,49,cozily,39478,married,expensive,badminton,90815,urban,no response
CEZTFJPe,21,cozily,30242,single,expensive,athletics,54028,urban,no response
EaUU1zeW,45,active,46337,married,practical,badminton,23933,urban,no response
Y7dcow9w,42,active,40484,single,practical,,93333,urban,no response
rzzGu1al,28,active,59642,married,expensive,athletics,115160,urban,no response
0at5nE4l,50,cozily,61197,single,expensive,athletics,117431,rural,no response
d36LXwA1,27,healthy,20022,single,expensive,athletics,77348,urban,response
VsozHloy,34,active,84582,single,expensive,badminton,28611,urban,no response
CvFck5BY,38,cozily,44069,single,expensive,badminton,107938,rural,no response
w3v4Avl9,37,active,74633,single,practical,athletics,112705,urban,no response
S9yABF7q,32,cozily,52287,married,practical,,20524,urban,no response
Z5G3KnFd,33,healthy,98545,married,practical,badminton,41979,rural,no response
nK47I5Cf,41,active,95374,married,practical,soccer,130657,urban,no response
ie6NaRzR,49,healthy,73500,single,practical,athletics,49908,urban,no response
FxJTI71Z,56,healthy,51813,single,practical,soccer,67203,urban,response
pX0YDFMv,23,cozily,81431,married,practical,athletics,113476,rural,no response
UMHsi5kH,41,cozily,96819,single,expensive,,108744,urban,no response
buBzNAQy,60,healthy,10334,married,practical,badminton,134226,urban,no response
4NfhoY85,19,active,10427,single,practical,soccer,89149,urban,response
bMvYVkHK,49,active,37912,single,expensive,soccer,109551,urban,no response
MMtMgZyD,17,healthy,36163,married,expensive,badminton,26153,urban,no response
KL10LyY9,42,cozily,37880,married,expensive,badminton,96275,rural,no response
EHsXtiP2,22,cozily,30431,married,practical,,124805,urban,no response
z1vnhMbe,40,active,98889,married,expensive,athletics,145589,urban,response
maHQ1DAW,45,healthy,33103,single,expensive,athletics,100638,urban,no response
RERVn4QA,31,healthy,28734,single,practical,athletics,34896,urban,no response
Gi5n5rmV,15,active,95383,married,expensive,badminton,92344,urban,no response
U0AyRFFM,62,cozily,74469,married,practical,soccer,85516,urban,response
hBhg77t6,47,active,54650,married,expensive,athletics,109418,urban,no response
tkAdyNiR,24,cozily,50861,married,practical,badminton,95017,urban,no response
rv1LSTog,52,healthy,21917,single,practical,,66578,rural,no response
bN5TdQqo,48,active,34583,single,practical,athletics,129684,urban,no response
CFhmsM7k,30,cozily,23901,single,practical,soccer,119872,rural,no response
V43Y9M9f,58,healthy,25157,married,expensive,soccer,54520,rural,response
uI9g6qmn,32,cozily,35963,single,practical,athletics,134332,rural,no response
3DF4MaYW,34,active,99731,married,expensive,athletics,125508,urban,no response
gSaywB4e,18,cozily,53866,married,practical,,144054,rural,response
mfagHRNF,69,active,77998,single,practical,athletics,75528,rural,response
0df1AcEr,37,cozily,81274,single,expensive,badminton,42933,urban,no response
zr6CofG4,38,active,14001,married,expensive,soccer,99781,urban,response
jR3LYNPF,36,cozily,98894,single,practical,soccer,82086,rural,no response
nJKmnzQj,54,healthy,95542,married,practical,,137261,urban,no response
6u3H8Otp,37,healthy,57796,single,practical,soccer,86882,urban,no response
CbHXEjH8,66,active,38658,single,expensive,soccer,20764,urban,response
tCoR5bzL,65,active,18320,single,expensive,badminton,57340,rural,response
B6T5OR4x,61,cozily,87973,married,expensive,,111469,rural,no response
Mwv0fmeg,34,cozily,71751,married,expensive,badminton,133676,urban,no response
BWXvAvlo,23,healthy,67816,single,expensive,badminton,109852,rural,no response
l8kYm4WX,31,healthy,42864,single,practical,athletics,80873,rural,no response
yBUxWclg,29,healthy,94780,married,practical,soccer,122304,urban,no response
yWAXj1Ma,58,healthy,81031,single,practical,athletics,36770,rural,response
FLuKye1g,60,active,64409,married,expensive,soccer,135305,urban,response
ZufPJgOb,69,active,45197,married,expensive,badminton,144189,urban,response
bVBNgWvN,57,healthy,36492,married,practical,athletics,134570,urban,response
PayyNRUg,34,active,48090,married,practical,athletics,27298,urban,no response
TorKDp0g,58,cozily,51791,single,practical,badminton,134684,urban,no response
CUg7HCmu,37,active,43802,single,expensive,soccer,80482,urban,no response
K9oDGoiq,61,active,27364,married,practical,,72536,urban,response
l7FwLOKr,20,active,59264,single,expensive,,43096,urban,no response
QuGlq42s,46,active,25375,married,practical,soccer,60979,rural,no response
Ecmhj1C4,44,healthy,82940,married,practical,soccer,57528,rural,no response
ZGDCdZmR,33,active,76717,married,expensive,soccer,99087,rural,no response
FkWIn2WT,68,healthy,33060,single,practical,badminton,146452,urban,response
z4BmlPWY,48,healthy,39946,married,expensive,soccer,124388,urban,no response
4OkVmir1,61,healthy,12450,single,expensive,athletics,20569,urban,response
LKwSmmXI,26,active,77384,married,practical,athletics,26302,urban,no response
X6120SHP,54,active,30080,single,expensive,badminton,83301,urban,no response
2dLAakna,44,active,94924,single,practical,soccer,79095,rural,no response
995FxH3W,45,healthy,92968,single,expensive,badminton,25695,rural,no response
elilMhlI,32,active,13683,single,expensive,badminton,94391,urban,response
5WRybChJ,47,healthy,24312,married,expensive,,115871,urban,no response
I2jAk5Ms,57,healthy,42150,single,practical,,20240,urban,response
